"table_schema","table_name","column_name","data_type","column_default","is_nullable","key_type"
"airbnb","address","address_id","integer","nextval('airbnb.address_address_id_seq'::regclass)","NO","PK"
"airbnb","address","country_code","character varying",NULL,"NO","FK"
"airbnb","address","city_id","integer",NULL,"NO","FK"
"airbnb","address","neighborhood_id","integer",NULL,"NO","FK"
"airbnb","address","street","character varying",NULL,"NO",""
"airbnb","address","house_number","integer",NULL,"NO",""
"airbnb","address","apartment_number","integer",NULL,"YES",""
"airbnb","address","coordinates_id","integer",NULL,"NO","FK"
"airbnb","amenities","amenities_id","integer","nextval('airbnb.amenities_amenities_id_seq'::regclass)","NO","PK"
"airbnb","amenities","property_id","integer",NULL,"YES",""
"airbnb","amenities","wifi","smallint",NULL,"YES",""
"airbnb","amenities","kitchen","smallint",NULL,"YES",""
"airbnb","amenities","washer","smallint",NULL,"YES",""
"airbnb","amenities","tv","smallint",NULL,"YES",""
"airbnb","amenities","parking","smallint",NULL,"YES",""
"airbnb","amenities","dryer","smallint",NULL,"YES",""
"airbnb","amenities","refrigerator","smallint",NULL,"YES",""
"airbnb","amenities","iron","smallint",NULL,"YES",""
"airbnb","amenities","heating","smallint",NULL,"YES",""
"airbnb","amenities","workspace","smallint",NULL,"YES",""
"airbnb","amenities","waterfront","smallint",NULL,"YES",""
"airbnb","amenities","hairdryer","smallint",NULL,"YES",""
"airbnb","amenities","pool","smallint",NULL,"YES",""
"airbnb","amenities","hottub","smallint",NULL,"YES",""
"airbnb","amenities","ev_charger","smallint",NULL,"YES",""
"airbnb","amenities","gym","smallint",NULL,"YES",""
"airbnb","amenities","breakfast","smallint",NULL,"YES",""
"airbnb","amenities","indoor_fireplace","smallint",NULL,"YES",""
"airbnb","amenities","smoking_allowed","smallint",NULL,"YES",""
"airbnb","amenities","smoke_alarm","smallint",NULL,"YES",""
"airbnb","amenities","carbonmonoxide_alarm","smallint",NULL,"YES",""
"airbnb","booking","booking_id","integer","nextval('airbnb.booking_booking_id_seq'::regclass)","NO","PK"
"airbnb","booking","check_in","date",NULL,"NO",""
"airbnb","booking","check_out","date",NULL,"NO",""
"airbnb","booking","number_guests","integer",NULL,"NO",""
"airbnb","booking","property_id","integer",NULL,"NO",""
"airbnb","booking","user_id","integer",NULL,"NO","FK"
"airbnb","city","city_id","integer","nextval('airbnb.city_city_id_seq'::regclass)","NO","PK"
"airbnb","city","city_name","character varying",NULL,"NO",""
"airbnb","city","country_code","character varying",NULL,"NO","FK"
"airbnb","coordinates","coordinates_id","integer","nextval('airbnb.coordinates_coordinates_id_seq'::regclass)","NO","PK"
"airbnb","coordinates","longitude","numeric",NULL,"NO",""
"airbnb","coordinates","latitude","numeric",NULL,"NO",""
"airbnb","country","country_code","character varying",NULL,"NO","PK"
"airbnb","country","country_name","character varying","NULL::character varying","YES",""
"airbnb","images","images_id","integer","nextval('airbnb.images_images_id_seq'::regclass)","NO","PK"
"airbnb","images","image","character varying","'image.jpg'::character varying","YES",""
"airbnb","images","description","character varying",NULL,"YES",""
"airbnb","images","property_id","integer",NULL,"NO","FK"
"airbnb","language","language","character varying",NULL,"NO","PK"
"airbnb","messages","messages_id","integer","nextval('airbnb.messages_messages_id_seq'::regclass)","NO","PK"
"airbnb","messages","content","character varying",NULL,"YES",""
"airbnb","messages","sender","integer",NULL,"YES","FK"
"airbnb","messages","receiver","integer",NULL,"YES","FK"
"airbnb","neighborhood","neighborhood_id","integer","nextval('airbnb.neighborhood_neighborhood_id_seq'::regclass)","NO","PK"
"airbnb","neighborhood","name","character varying",NULL,"NO",""
"airbnb","neighborhood","city_id","integer",NULL,"YES","FK"
"airbnb","neighborhood","country_code","character varying","NULL::character varying","YES","FK"
"airbnb","number_guests","number_guests_id","integer","nextval('airbnb.number_guests_number_guests_id_seq'::regclass)","NO","PK"
"airbnb","number_guests","number_guests_id","integer","nextval('airbnb.number_guests_number_guests_id_seq'::regclass)","NO","FK"
"airbnb","number_guests","adults","integer",NULL,"NO",""
"airbnb","number_guests","children","integer",NULL,"YES",""
"airbnb","number_guests","babies","integer",NULL,"YES",""
"airbnb","number_guests","pets","integer",NULL,"YES",""
"airbnb","payment_method","payment_method_id","integer","nextval('airbnb.payment_method_payment_method_id_seq'::regclass)","NO","PK"
"airbnb","payment_method","payment_method_id","integer","nextval('airbnb.payment_method_payment_method_id_seq'::regclass)","NO","FK"
"airbnb","payment_method","payment_method","character varying","NULL::character varying","YES",""
"airbnb","place_type","place_type_id","integer","nextval('airbnb.place_type_place_type_id_seq'::regclass)","NO","PK"
"airbnb","place_type","place_type","character varying",NULL,"NO",""
"airbnb","price","price_id","integer","nextval('airbnb.price_price_id_seq'::regclass)","NO","PK"
"airbnb","price","base_price","integer",NULL,"YES",""
"airbnb","price","discount_per_week","integer",NULL,"YES",""
"airbnb","price","discount_per_month","integer",NULL,"YES",""
"airbnb","price","service_fee","integer",NULL,"YES",""
"airbnb","price","airbnb_fee","integer",NULL,"YES",""
"airbnb","property","property_id","integer","nextval('airbnb.property_property_id_seq'::regclass)","NO","FK"
"airbnb","property","property_id","integer","nextval('airbnb.property_property_id_seq'::regclass)","NO","FK"
"airbnb","property","property_id","integer","nextval('airbnb.property_property_id_seq'::regclass)","NO","FK"
"airbnb","property","property_id","integer","nextval('airbnb.property_property_id_seq'::regclass)","NO","PK"
"airbnb","property","title","character varying",NULL,"NO",""
"airbnb","property","date_created","timestamp without time zone",NULL,"YES",""
"airbnb","property","address_id","integer",NULL,"NO","FK"
"airbnb","property","user_id","integer",NULL,"NO","FK"
"airbnb","property","review_rating_id","integer",NULL,"YES","FK"
"airbnb","property","price_id","integer",NULL,"YES","FK"
"airbnb","review_rating","review_rating_id","integer","nextval('airbnb.review_rating_review_rating_id_seq'::regclass)","NO","PK"
"airbnb","review_rating","review","character varying","NULL::character varying","YES",""
"airbnb","review_rating","rating","integer",NULL,"YES",""
"airbnb","review_rating","date_reviewed","timestamp without time zone",NULL,"YES",""
"airbnb","review_rating","user_id","integer",NULL,"NO","FK"
"airbnb","review_rating","property_id","integer",NULL,"NO",""
"airbnb","rooms_beds","rooms_beds_id","integer","nextval('airbnb.rooms_beds_rooms_beds_id_seq'::regclass)","NO","PK"
"airbnb","rooms_beds","bedrooms","integer",NULL,"YES",""
"airbnb","rooms_beds","beds","integer",NULL,"NO",""
"airbnb","rooms_beds","bathrooms","integer",NULL,"YES",""
"airbnb","social_media","social_media_id","integer","nextval('airbnb.social_media_social_media_id_seq'::regclass)","NO","PK"
"airbnb","social_media","facebook","character varying","NULL::character varying","YES",""
"airbnb","social_media","instagram","character varying","NULL::character varying","YES",""
"airbnb","social_media","twitter","character varying","NULL::character varying","YES",""
"airbnb","user","user_id","integer","nextval('airbnb.user_user_id_seq'::regclass)","NO","PK"
"airbnb","user","first_name","character varying",NULL,"NO",""
"airbnb","user","last_name","character varying",NULL,"NO",""
"airbnb","user","gender","character varying",NULL,"NO",""
"airbnb","user","email","character varying",NULL,"NO",""
"airbnb","user","password","character varying",NULL,"NO",""
"airbnb","user","phone","character varying","NULL::character varying","YES",""
"airbnb","user","user_type","character varying",NULL,"NO",""
"airbnb","user","language","character varying","'English'::character varying","YES","FK"
"airbnb","user","social_media_id","integer","1","YES","FK"
"airbnb","wishlist","wishlist_id","integer","nextval('airbnb.wishlist_wishlist_id_seq'::regclass)","NO","PK"
"airbnb","wishlist","name","character varying",NULL,"NO",""
"airbnb","wishlist","user_id","integer",NULL,"NO","FK"
"airbnb","wishlist_property_mapping","wishlist_id","integer",NULL,"NO","FK"
"airbnb","wishlist_property_mapping","wishlist_id","integer",NULL,"NO","PK"
"airbnb","wishlist_property_mapping","property_id","integer",NULL,"NO","PK"
